iter	AUC	Logloss
757	0.8040069179	0.2301012706
758	0.8040254548	0.2300946241
759	0.8040541663	0.2300830028
760	0.8040814898	0.2300707307
761	0.804109652	0.2300592392
762	0.8041502823	0.2300406621
763	0.8041836557	0.2300272095
764	0.804218584	0.2300109893
765	0.8042563519	0.2299974784
766	0.8042750687	0.2299859944
767	0.8043114702	0.2299707453
768	0.8043637865	0.229950069
769	0.8043855377	0.2299366824
770	0.804403493	0.2299255383
771	0.8044307185	0.2299090146
772	0.8044758479	0.2298900663
773	0.8045058523	0.2298757733
774	0.8045409586	0.2298600716
775	0.8045865375	0.2298371918
776	0.8046120901	0.22982691
777	0.8046682219	0.229805144
778	0.8047020351	0.2297871027
779	0.8047327043	0.2297728679
780	0.804763528	0.2297572535
781	0.8047901361	0.2297447859
782	0.8048161899	0.2297326923
783	0.8048369221	0.2297230538
784	0.8048711467	0.2297096635
785	0.8049027282	0.2296922791
786	0.8049321237	0.2296768955
787	0.804948434	0.2296690847
788	0.8049695057	0.2296596661
789	0.8050072185	0.2296431655
790	0.8050374615	0.2296264152
791	0.8050741431	0.2296111266
792	0.8051181948	0.2295920354
793	0.8051524783	0.2295742737
794	0.8051751647	0.2295626937
795	0.8052099904	0.2295486797
796	0.8052421405	0.2295329028
797	0.8052512841	0.2295249314
798	0.8052718365	0.2295134367
799	0.8052874739	0.2295031589
800	0.8053256605	0.2294853238
801	0.8053521841	0.2294757556
802	0.805398497	0.2294555356
803	0.8054175848	0.2294472535
804	0.805445218	0.2294338555
805	0.8054664277	0.2294231436
806	0.8055077658	0.2294009704
807	0.8055357689	0.2293864344
808	0.8055642431	0.2293708335
809	0.8056023631	0.2293564527
810	0.8056229185	0.2293444078
811	0.8056564259	0.2293297186
812	0.8056772169	0.2293202679
813	0.8057184685	0.2293039514
814	0.8057407953	0.2292945076
815	0.8057627126	0.2292843238
816	0.8057930129	0.2292701096
817	0.8058133039	0.2292597438
818	0.8058411088	0.2292443401
819	0.8058737659	0.2292255136
820	0.8058947662	0.2292141525
821	0.8059105536	0.2292056435
822	0.8059344311	0.2291961841
823	0.8059691644	0.2291832897
824	0.805990341	0.2291729634
825	0.8060198051	0.2291571014
826	0.8060704288	0.2291371281
827	0.8060942355	0.2291264126
828	0.8061430676	0.2291043187
829	0.80616184	0.2290956657
830	0.8062068767	0.2290753258
831	0.8062172052	0.2290699493
832	0.8062339536	0.2290604759
833	0.8062646007	0.2290475762
834	0.8062866029	0.2290362255
835	0.806343376	0.2290122804
836	0.8063692505	0.2290032883
837	0.8064040395	0.2289863937
838	0.8064253116	0.2289748723
839	0.8064512444	0.2289600869
840	0.8064817181	0.2289435097
841	0.8065237066	0.2289259693
842	0.8065455272	0.2289154242
843	0.8065788039	0.2288999006
844	0.8066052188	0.2288888322
845	0.8066793301	0.2288608448
846	0.8067126207	0.2288478578
847	0.8067322734	0.2288372578
848	0.8067874801	0.2288163162
849	0.8068038856	0.2288073759
850	0.806852897	0.2287896066
851	0.8068817517	0.2287758463
852	0.8069147575	0.2287599109
853	0.8069449731	0.2287444225
854	0.8069790364	0.2287305541
855	0.807001334	0.2287199954
856	0.8070304512	0.2287046159
857	0.8070557453	0.2286923067
858	0.8070708515	0.2286847296
859	0.8071037372	0.2286694957
860	0.80711368	0.228663887
861	0.8071437432	0.2286485048
862	0.8071635714	0.228638736
863	0.8071828168	0.2286287297
864	0.8072076073	0.2286169445
865	0.8072309313	0.2286045847
866	0.8072435601	0.2285973612
867	0.8072670224	0.228589057
868	0.8072978283	0.2285757316
869	0.8073152326	0.2285656625
870	0.8073397427	0.228554245
871	0.8073584812	0.2285467021
872	0.807378382	0.2285371201
873	0.8074170318	0.228519565
874	0.8074649376	0.228498982
875	0.8075239295	0.2284760675
876	0.8075505609	0.2284646473
877	0.8075690974	0.2284560657
878	0.8076117603	0.2284375526
879	0.8076262914	0.2284293959
880	0.8076541955	0.2284152766
881	0.8076846583	0.2284013474
